Provinsi,Kabupaten/Kota,Kecamatan,Nama,Kategori,Latitude,Longitude,Alamat,Link
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,AZKO Meruya Ilir,Home improvement store,-6.1273018,106.6388181,"Jl. Meruya Ilir Raya No.17, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620","https://www.google.com/maps/place/AZKO+Meruya+Ilir/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7a8e95ac653:0x9e621937c5f2d0fd!8m2!3d-6.197262!4d106.7466674!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11s42pb33n?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kalideres,AZKO Daan Mogot Mall,Home improvement store,-6.1273018,106.6388181,"Jl. Daan Mogot Raya Km. 16 Kel. Kalideres, Kec. Kalideres,, Kotamadya Jakarta Barat, RT.12/RW.3, Cengkareng Timur, Cengkareng, RT.8/RW.12, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840","https://www.google.com/maps/place/AZKO+Daan+Mogot+Mall/@-6.1273018,106.6388181,12z/data=!3m1!5s0x2e69f810bbb3c2c1:0xc7e661a79c7c237e!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7ec062bed11:0x6c95d7576152e846!8m2!3d-6.1504693!4d106.7145588!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F1tcvfhx2?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,AZKO Head Office,Business center,-6.1273018,106.6388181,"Kawan Lama, Jl. Puri Kencana No.1 Lt.5, RT.6/RW.2, Gedung, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/AZKO+Head+Office/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7123b5593c1:0xee4ef2bc8991e698!8m2!3d-6.190676!4d106.7436334!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVJIBD2J1c2luZXNzX2NlbnRlcqoBShABKggiBGF6a28oADIfEAEiG0iqvKR_if-CUQ0UnoxYCmIarIWNVIz3dMGH4zIbEAIiF2F6a28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F1td8w74h?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,AZKO Green Lake City,Home improvement store,-6.1273018,106.6388181,"Rukan New Castle Blok A No. 38-39, Jl. Green Lake City Boulevard No.50-51, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 15147","https://www.google.com/maps/place/AZKO+Green+Lake+City/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f9a2310cda83:0x9458d1a2ec77a48b!8m2!3d-6.1831615!4d106.7094772!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11n8rzz2b4?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Cengkareng,AZKO Taman Palem,Home improvement store,-6.1273018,106.6388181,"Komplek Mutiara Taman Palem Blok 17 No.5-9, RT.7/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730","https://www.google.com/maps/place/AZKO+Taman+Palem/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e6a1d564b336611:0xd8baada06d990154!8m2!3d-6.1370908!4d106.7322268!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11c2q3cz7l?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,AZKO Neo Soho,Home improvement store,-6.1273018,106.6388181,"Letjen S. Parman St No.Kav. 28, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470","https://www.google.com/maps/place/AZKO+Neo+Soho/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f6f59ba67d1d:0xf550bcc3b4a547b8!8m2!3d-6.1745783!4d106.7900561!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F1yh4g787b?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kb Jeruk,AZKO Green Ville,Home improvement store,-6.1273018,106.6388181,"Jl. Ratu Kemuning Blok A Kav No. 2 RT/RW 012/014 Kel, RT.9/RW.13, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820","https://www.google.com/maps/place/AZKO+Green+Ville/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7b385d75e4f:0x86de81a1df2b2fc2!8m2!3d-6.169718!4d106.7706084!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11f6xwp_8s?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,AZKO Citra Garden 6,Home improvement store,-6.1273018,106.6388181,"Citra 6 Citra Garden City Kotamadya J Jalan Raya Citra 6, RT.3/RW.5, Tegal Alur, Kalideres, West Jakarta City, Jakarta 11830","https://www.google.com/maps/place/AZKO+Citra+Garden+6/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e6a02bf98a4c625:0xed2331e88f0f44fb!8m2!3d-6.1263759!4d106.7129108!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F1pzs1tybf?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,AZKO Puri Indah Mall,Home improvement store,-6.1273018,106.6388181,"Puri Indah Mall, Jl. Puri Agung No.1 Lantai 1, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/AZKO+Puri+Indah+Mall/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f79a2e891263:0xa1d3cd5f1504788f!8m2!3d-6.188205!4d106.7336238!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11w9zddvql?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Taman Sari,AZKO Grand Paragon Mall,Home improvement store,-6.1273018,106.6388181,"No. 126, GF, Jl. Gajah Mada 12, RT.12/RW.8, Keagungan, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130","https://www.google.com/maps/place/AZKO+Grand+Paragon+Mall/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f4724ba0f3f9:0xfffca05e02b2a0a6!8m2!3d-6.151833!4d106.8161392!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F1s04wch3k?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,AZKO Mal Taman Anggrek,Home improvement store,-6.1273018,106.6388181,"Letjen S. Parman St No.Kav 21, RT.12/RW.1, South Tanjung Duren, Grogol petamburan, Jakarta, 11470","https://www.google.com/maps/place/AZKO+Mal+Taman+Anggrek/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f75919ef3157:0xe93d7482bbd4fc04!8m2!3d-6.179391!4d106.792549!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11j0k077db?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,AZKO Living Plaza Puri,Unknown,-6.1273018,106.6388181,"Living Plaza Puri, Jl. Puri Indah Raya No.6 Lantai UG & 1, RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/AZKO+Living+Plaza+Puri/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7007dc7e6e7:0x3755417971838659!8m2!3d-6.1882371!4d106.7378365!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVKoBShABKggiBGF6a28oADIfEAEiG0iqvKR_if-CUQ0UnoxYCmIarIWNVIz3dMGH4zIbEAIiF2F6a28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11wv8vv1dh?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kby Lama,AZKO Permata Hijau,Home improvement store,-6.1273018,106.6388181,"Grand ITC Permata Hijau Blok Emerald No.36-38, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210","https://www.google.com/maps/place/AZKO+Permata+Hijau/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f1325c16c127:0x9424a795216fadcd!8m2!3d-6.2215887!4d106.7843393!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F1hc23h89z?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,TamboraKota,AZKO - Seasons City,Home goods store,-6.1273018,106.6388181,"Jl. Petojo Binatu 2 No.21RT 10, RW.3, Jemb. BesiKec. TamboraKota, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320","https://www.google.com/maps/place/AZKO+-+Seasons+City/@-6.1273018,106.6388181,12z/data=!4m10!1m2!2m1!1sAZKO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f70008513e13:0x7623538031deb1eb!8m2!3d-6.1544121!4d106.7961122!15sChdBWktPIEtPVEEgSkFLQVJUQSBCQVJBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdJIBEGhvbWVfZ29vZHNfc3RvcmWqAUoQASoIIgRhemtvKAAyHxABIhtIqrykf4n_glENFJ6MWApiGqyFjVSM93TBh-MyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11x0x5xkbr?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Pademangan,Altent.id,Store,-6.1272892,106.6388178,"Jl. Tongkol No.23i Blok 1, RT.8/RW.4, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430","https://www.google.com/maps/place/Altent.id/@-6.1272892,106.6388178,12z/data=!4m10!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m5!1s0x2e6a1dda51841e8d:0x82de75657f0df958!8m2!3d-6.129234!4d106.8114424!16s%2Fg%2F11q254mdtb?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Pademangan,Altent.id,Store,-6.1272892,106.6388178,"Jl. Tongkol No.23i Blok 1, RT.8/RW.4, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430","https://www.google.com/maps/place/Altent.id/@-6.1272892,106.6388178,12z/data=!4m10!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m5!1s0x2e6a1dda51841e8d:0x82de75657f0df958!8m2!3d-6.129234!4d106.8114424!16s%2Fg%2F11q254mdtb?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Cemp Putih,AZKO Green Pramuka,Home improvement store,-6.1272892,106.6388178,"Jl. Jenderal Ahmad Yani, RT.13/RW.9, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10571","https://www.google.com/maps/place/AZKO+Green+Pramuka/@-6.1272892,106.6388178,12z/data=!4m11!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m6!1s0x2e69f4f19ba49509:0x4b16cad79d2537dc!8m2!3d-6.1893673!4d106.8739514!15sChdBWktPIEtPVEEgSkFLQVJUQSBQVVNBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAVkKDS9nLzExZzY4dzgyYnAQASoIIgRhemtvKAAyHxABIhsG52-waIC7L5TdE45B84UmVTTCvFhWtiyzbBEyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdOABAA!16s%2Fg%2F11g68w82bp?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Menteng Dalam,AZKO - MENTENG HUIS,Store equipment supplier,-6.1272892,106.6388178,"Menteng Huis, Jl. Cikini Raya no 2-4 Menteng, Kel. Cikini, Kec. Menteng Dalam, Jakarta Pusat, RT.13/RW.5, Cikini, Menteng, Central Jakarta City, Jakarta 10330","https://www.google.com/maps/place/AZKO+-+MENTENG+HUIS/@-6.1272892,106.6388178,12z/data=!4m11!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m6!1s0x2e69f439918a5461:0xdb8af84dbdd7313a!8m2!3d-6.1878952!4d106.8364715!15sChdBWktPIEtPVEEgSkFLQVJUQSBQVVNBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdJIBGHN0b3JlX2VxdWlwbWVudF9zdXBwbGllcqoBWQoNL2cvMTFnNjh3ODJicBABKggiBGF6a28oADIfEAEiGwbnb7BogLsvlN0TjkHzhSZVNMK8WFa2LLNsETIbEAIiF2F6a28ga290YSBqYWthcnRhIHB1c2F04AEA!16s%2Fg%2F11cs3nrhz7?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Taman Sari,AZKO Grand Paragon Mall,Home improvement store,-6.1272892,106.6388178,"No. 126, GF, Jl. Gajah Mada 12, RT.12/RW.8, Keagungan, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130","https://www.google.com/maps/place/AZKO+Grand+Paragon+Mall/@-6.1272892,106.6388178,12z/data=!4m11!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m6!1s0x2e69f4724ba0f3f9:0xfffca05e02b2a0a6!8m2!3d-6.151833!4d106.8161392!15sChdBWktPIEtPVEEgSkFLQVJUQSBQVVNBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAVkKDS9nLzExZzY4dzgyYnAQASoIIgRhemtvKAAyHxABIhsG52-waIC7L5TdE45B84UmVTTCvFhWtiyzbBEyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdOABAA!16s%2Fg%2F1s04wch3k?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Jatinegara,AZKO Jatinegara Plaza,Home improvement store,-6.1272892,106.6388178,"Jl. Matraman Raya No.173 - 175, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310","https://www.google.com/maps/place/AZKO+Jatinegara+Plaza/@-6.1272892,106.6388178,12z/data=!4m11!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m6!1s0x2e69f47fd77c5993:0xae98b3f37285819d!8m2!3d-6.2143672!4d106.8648369!15sChdBWktPIEtPVEEgSkFLQVJUQSBQVVNBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAVkKDS9nLzExZzY4dzgyYnAQASoIIgRhemtvKAAyHxABIhsG52-waIC7L5TdE45B84UmVTTCvFhWtiyzbBEyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdOABAA!16s%2Fg%2F11fy_4rpt6?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Kby Lama,AZKO Gandaria City,Store equipment supplier,-6.1272892,106.6388178,"Gandaria City, Jl. Sultan Iskandar Muda B1-LG, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240","https://www.google.com/maps/place/AZKO+Gandaria+City/@-6.1272892,106.6388178,12z/data=!3m1!5s0x2e69f110ca9fefab:0xdde73a45d382ee4d!4m11!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m6!1s0x2e69ee8edd966acd:0xa02d374ec5c1ef3d!8m2!3d-6.2446629!4d106.7830649!15sChdBWktPIEtPVEEgSkFLQVJUQSBQVVNBVJIBGHN0b3JlX2VxdWlwbWVudF9zdXBwbGllcqoBWQoNL2cvMTFnNjh3ODJicBABKggiBGF6a28oADIfEAEiGwbnb7BogLsvlN0TjkHzhSZVNMK8WFa2LLNsETIbEAIiF2F6a28ga290YSBqYWthcnRhIHB1c2F04AEA!16s%2Fg%2F11g_tnl2s?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Kby Baru,AZKO Panglima Polim,Home improvement store,-6.1272892,106.6388178,"PQXX+M28, Jl. Panglima Polim No.73 1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160","https://www.google.com/maps/place/AZKO+Panglima+Polim/@-6.1272892,106.6388178,12z/data=!4m11!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m6!1s0x2e69f16ee8401cb9:0x58721b3df20e0768!8m2!3d-6.2507589!4d106.7976592!15sChdBWktPIEtPVEEgSkFLQVJUQSBQVVNBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAVkKDS9nLzExZzY4dzgyYnAQASoIIgRhemtvKAAyHxABIhsG52-waIC7L5TdE45B84UmVTTCvFhWtiyzbBEyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdOABAA!16s%2Fg%2F1tg0b3__?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Tj Priok,AZKO Metro Sunter,Home improvement store,-6.1272892,106.6388178,"Gedung Metro Sunter Lt. 2, Jalan Danau Sunter Utara Raya Blok A2, Sunter Agung, Tanjung Priok, RT.10/RW.4, Papanggo, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350","https://www.google.com/maps/place/AZKO+Metro+Sunter/@-6.1272892,106.6388178,12z/data=!4m11!1m3!2m2!1sAZKO+KOTA+JAKARTA+PUSAT!6e6!3m6!1s0x2e69f58190506cc7:0xb76151bf61d41751!8m2!3d-6.1369839!4d106.8731543!15sChdBWktPIEtPVEEgSkFLQVJUQSBQVVNBVFoZIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdJIBFmhvbWVfaW1wcm92ZW1lbnRfc3RvcmWqAVkKDS9nLzExZzY4dzgyYnAQASoIIgRhemtvKAAyHxABIhsG52-waIC7L5TdE45B84UmVTTCvFhWtiyzbBEyGxACIhdhemtvIGtvdGEgamFrYXJ0YSBwdXNhdOABAA!16s%2Fg%2F1td_7syh?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
